Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	109.735256
1	Clockticks	14721000000
2	Performance-core (P-core)	360000000
1	Instructions Retired	390027000000
2	Performance-core (P-core)	696000000
1	CPI Rate	0.037744
2	Performance-core (P-core)	0.517241
1	Performance-core (P-core)	
2	Retiring	31.7
3	Light Operations	28.3
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	11.9
4	Fused Instructions	3.0
4	Non Fused Branches	3.0
4	Other	10.4
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	3.3
4	Few Uops Instructions	3.3
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	76.2
3	Front-End Latency	35.2
4	ICache Misses	3.0
5	Code L2 Hit	3.0
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	6.9
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	3.9
3	Front-End Bandwidth	41.0
4	Front-End Bandwidth MITE	13.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	13.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	76.2
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	30.3
2	Bad Speculation	0.0
3	Branch Mispredict	16.7
4	Other Mispredicts	16.7
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	19.5
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	6.8
6	Load STLB Hit	6.2
6	Load STLB Miss	0.6
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	22.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	13.9
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	16.1
6	Store STLB Hit	15.6
6	Store STLB Miss	0.6
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	19.5
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	3.1
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	35.6
6	ALU Operation Utilization	17.8
7	Port 0	22.2
7	Port 1	11.1
7	Port 6	33.3
6	Load Operation Utilization	25.9
6	Store Operation Utilization	16.7
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	34.0
3	Arith Ops	22.5
4	Non Divider	22.5
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	11.5
4	Loads	10.2
4	Stores	1.6
2	Front-End Bound	13.2
3	IFetch Latency	2.9
4	ICache Misses	1.1
4	ITLB Misses	0.7
4	BACLEARS	0.4
4	Branch Resteers	0.7
3	IFetch Bandwidth	10.3
4	Cisc	1.3
4	Decode	5.8
4	Pre-Decode Wrong	0.0
4	Front-End Other	2.8
2	Bad Speculation	6.4
3	Branch Mispredict	6.1
3	Machine Clears	0.2
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	46.4
3	Memory Subsystem Bound	33.8
4	L2 Bound	14.2
4	L2 Miss	19.7
5	L3 Bound	18.0
5	Memory Bound	1.7
3	Core Bound	12.6
4	Serializing Operations	1.1
5	Pause	0.5
5	TPause	0.0
4	L1 Bound	2.8
4	RB Bound	0.0
4	Store Bound	0.5
4	Execution Bound	7.6
4	Allocation Bound	0.5
5	Allocation Restriction	0.5
2	Info Metrics	
3	Stores Bound	0.005457
3	Load Bound	0.366301
1	Average CPU Frequency	3516976586.174204
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.2% (0.037 out of 24)
1	Effective Logical Core Utilization	0.1% (0.038 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	294633687
1	Collection start time	18:36:26 11/06/2026 UTC
1	Collection stop time	18:38:16 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199746
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
