Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	98.873872
1	Clockticks	3594000000
2	Performance-core (P-core)	288000000
1	Instructions Retired	541632000000
2	Performance-core (P-core)	582000000
1	CPI Rate	0.006636
2	Performance-core (P-core)	0.494845
1	Performance-core (P-core)	
2	Retiring	80.0
3	Light Operations	76.9
4	FP Arithmetic	0.0
5	FP x87	0.0
5	FP Scalar	0.0
5	FP Vector	0.0
6	128-bit FP Vector	0.0
6	256-bit FP Vector	0.0
4	Integer Operations	0.0
5	128-bit Integer Vector Operations	0.0
5	256-bit Vector Operations	0.0
4	Memory Operations	12.6
4	Fused Instructions	3.0
4	Non Fused Branches	1.2
4	Other	60.2
5	Nop Instructions	0.0
5	Shuffles_256b	0.0
3	Heavy Operations	3.1
4	Few Uops Instructions	3.1
4	Microcode Sequencer	0.0
5	Assists	0.0
6	Page Faults	0.0
6	FP Assists	0.0
6	AVX Assists	0.0
5	CISC	0.0
2	Front-End Bound	20.8
3	Front-End Latency	18.5
4	ICache Misses	4.3
5	Code L2 Hit	4.3
5	Code L2 Miss	0.0
4	ITLB Misses	0.0
5	Code STLB Hit	0.0
5	Code STLB Miss	0.0
6	Code STLB Miss 4K	0.0
6	Code STLB Miss 2M	0.0
4	Branch Resteers	26.0
5	Mispredicts Resteers	
5	Clears Resteers	
5	Unknown Branches	0.0
4	MS Switches	0.0
4	Length Changing Prefixes	0.0
4	DSB Switches	16.5
3	Front-End Bandwidth	2.3
4	Front-End Bandwidth MITE	0.0
5	Decoder-0 Alone	0.0
4	Front-End Bandwidth DSB	0.0
4	Front-End Bandwidth LSD	0.0
4	MS	0.0
4	(Info) DSB Coverage	0.0
4	(Info) LSD Coverage	0.0
4	(Info) DSB Misses	6.5
2	Bad Speculation	0.0
3	Branch Mispredict	23.1
4	Other Mispredicts	23.1
3	Machine Clears	0.0
4	Other Nukes	0.0
2	Back-End Bound	15.4
3	Memory Bound	0.0
4	L1 Bound	0.0
5	DTLB Overhead	0.0
6	Load STLB Hit	0.0
6	Load STLB Miss	5.2
7	Load STLB Miss 4K	0.0
7	Load STLB Miss 2M	0.0
7	Load STLB Miss 1G	0.0
5	Loads Blocked by Store Forwarding	0.0
5	L1 Latency Dependency	0.0
5	Lock Latency	0.0
5	Split Loads	0.0
5	FB Full	0.0
4	L2 Bound	0.0
5	L2 Hit Latency	0.0
4	L3 Bound	0.0
5	Contested Accesses	0.0
5	Data Sharing	0.0
5	L3 Latency	0.0
5	SQ Full	0.0
4	DRAM Bound	0.0
5	Memory Bandwidth	0.0
5	Memory Latency	0.0
4	Store Bound	0.0
5	Store Latency	0.0
5	False Sharing	0.0
5	Split Stores	0.0
5	Streaming Stores	0.0
5	DTLB Store Overhead	13.3
6	Store STLB Hit	13.3
6	Store STLB Miss	0.0
7	Store STLB Miss 4K	0.0
7	Store STLB Miss 2M	0.0
7	Store STLB Miss 1G	0.0
3	Core Bound	15.4
4	Divider	0.0
5	FP Divider	0.0
5	INT Divider	0.0
4	Serializing Operations	7.8
5	Slow Pause	0.0
5	C01 Wait	0.0
5	C02 Wait	0.0
5	Memory Fence	0.0
4	Port Utilization	0.0
5	Cycles of 0 Ports Utilized	0.0
6	Mixing Vectors	0.0
5	Cycles of 1 Port Utilized	0.0
5	Cycles of 2 Ports Utilized	0.0
5	Cycles of 3+ Ports Utilized	100.0
6	ALU Operation Utilization	19.0
7	Port 0	19.0
7	Port 1	9.5
7	Port 6	38.1
6	Load Operation Utilization	22.2
6	Store Operation Utilization	19.0
5	Vector Capacity Usage (FPU)	0.0
1	Efficient-core (E-core)	
2	Retiring	48.6
3	Arith Ops	27.6
4	Non Divider	27.6
4	FP Divide	0.0
4	Int Divider	0.0
3	Mem Ops	21.0
4	Loads	16.1
4	Stores	6.8
2	Front-End Bound	15.6
3	IFetch Latency	4.8
4	ICache Misses	2.0
4	ITLB Misses	0.6
4	BACLEARS	1.0
4	Branch Resteers	0.8
3	IFetch Bandwidth	10.9
4	Cisc	1.5
4	Decode	8.0
4	Pre-Decode Wrong	0.1
4	Front-End Other	2.8
2	Bad Speculation	14.5
3	Branch Mispredict	12.5
3	Machine Clears	1.9
4	Ucode_Assist	0.0
4	Machine_Restart	0.0
2	Back-End Bound	21.3
3	Memory Subsystem Bound	6.1
4	L2 Bound	4.2
4	L2 Miss	2.0
5	L3 Bound	0.7
5	Memory Bound	1.3
3	Core Bound	15.2
4	Serializing Operations	3.3
5	Pause	0.9
5	TPause	0.0
4	L1 Bound	0.9
4	RB Bound	0.0
4	Store Bound	2.9
4	Execution Bound	6.6
4	Allocation Bound	1.4
5	Allocation Restriction	1.4
2	Info Metrics	
3	Stores Bound	0.029235
3	Load Bound	0.070633
1	Average CPU Frequency	569834730.332857
1	Total Thread Count	77
1	Paused Time	0.0
0	Effective Physical Core Utilization	0.3% (0.063 out of 24)
1	Effective Logical Core Utilization	0.2% (0.064 out of 32)
0	Collection and Platform Info	
1	Application Command Line	sudo "bash" "/home/dmirvid/python-manager/scripts/launch.bash" "app.yaml" "--ini-rep" "0" "--max-rep" "1" 
1	Operating System	6.8.0-117-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=22.04 DISTRIB_CODENAME=jammy DISTRIB_DESCRIPTION="Ubuntu 22.04.5 LTS"
1	Computer Name	ipman1
1	Result Size	287230389
1	Collection start time	17:31:34 11/06/2026 UTC
1	Collection stop time	17:33:13 11/06/2026 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) microarchitecture code named Raptorlake-DT
2	Frequency	2995199747
2	Logical CPU Count	32
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
